Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),IPO Status,Acquired by,Acquired by URL,Operating Status,Website,Number of Employees,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Number of Funding Rounds,Top 5 Investors
Sea,https://www.crunchbase.com/organization/garena,"E-Commerce, Messaging, Mobile, Payments","Singapore, Central Region, Singapore",Sea is the leading consumer internet company in Southeast Asia and Taiwan.,2647000000,USD,2647000000,Public,,,Active,https://www.sea.com/home,5001-10000,1350000000,USD,1350000000,Post-IPO Equity,8,"Tencent Holdings, General Atlantic, Hillhouse Capital Group, Ontario Teachers' Pension Plan, Farallon Capital Management"
Funding Societies,https://www.crunchbase.com/organization/funding-societies,"Commercial Lending, Financial Services, FinTech, Funding Platform, Lending","Singapore, Central Region, Singapore",Funding Societies is an online peer-to-peer financing platform that connects SMEs with retail and institutional lenders.,118522581,USD,118522581,Private,,,Active,https://www.fundingsocieties.com,101-250,5000000,EUR,6071416,Debt Financing,8,"Sequoia Capital India, Line Corporation, Alpha JWC Ventures, Lendahand, Softbank Ventures Asia"
Carousell,https://www.crunchbase.com/organization/carousell,"Classifieds, Consumer, Consumer Goods, E-Commerce, Marketplace, Mobile Apps","Singapore, Central Region, Singapore",Carousell is a classifieds marketplace that allows people to buy and sell preloved items.,177885000,USD,177885000,Private,,,Active,https://carousell.com/,501-1000,80000000,USD,80000000,Venture - Series Unknown,11,"Naver, Sequoia Capital India, 500 Startups, Rakuten, Golden Gate"
LongHash Ventures,https://www.crunchbase.com/organization/longhash,"Blockchain, Financial Services, Information Technology, Internet","Singapore, Central Region, Singapore",LongHash Ventures is a global blockchain accelerator and VC fund.,10000000,CNY,1493763,Private,,,Active,https://www.longhashventures.com,11-50,10000000,CNY,1493763,Venture - Series Unknown,1,"HashKey Capital, Fenbushi Capital"
Grab Financial Group,https://www.crunchbase.com/organization/grab-financial-group,"Financial Services, Insurance, Payments","Midview City, Central Region, Singapore","Grab Financial Group provides financial services across payments, rewards, lending and insurance.",300000000,USD,300000000,Private,,,Active,https://www.grab.com/sg/grab-financial-group,11-50,300000000,USD,300000000,Series A,1,"GGV Capital, Flourish Ventures, Arbor Ventures, K3 Ventures, Hanwha Asset Management"
Lazada Group,https://www.crunchbase.com/organization/lazada-group,"E-Commerce, Fashion, Internet, Shopping","Singapore, Central Region, Singapore","Lazada Group operates Lazada, an online shopping and selling destination in Southeast Asia.",4209739556,USD,4209739556,Private,,,Active,http://www.lazada.com,5001-10000,2000000000,USD,2000000000,Secondary Market,9,"Alibaba Group, Rocket Internet, HV Capital, Temasek Holdings, Summit Partners"
Trax,https://www.crunchbase.com/organization/traxretail,"Analytics, Computer Vision, E-Commerce, Image Recognition, Information Services, Information Technology, Real Time, Retail Technology, SaaS","Singapore, Central Region, Singapore",Trax provides computer vision solutions for retail.,386900000,USD,386900000,Private,,,Active,http://traxretail.com/,251-500,100000000,USD,100000000,Series D,9,"Investec, Boyu Capital, Warburg Pincus, HOPU Investment Management Company, DC Thomson Ventures"
Volopay,https://www.crunchbase.com/organization/volopay,"FinTech, SaaS, Software","Midview City, Central Region, Singapore",Volopay simplifies business spending using corporate cards and automated payables.,2225000,USD,2225000,Private,,,Active,https://www.volopay.co/,11-50,2100000,USD,2100000,Seed,4,"Antler, Soma Capital, Y Combinator, Justin Mateen, VentureSouq"
GoBear,https://www.crunchbase.com/organization/gobear,"Auto Insurance, Health Insurance, InsurTech, Internet, Price Comparison","Singapore, Central Region, Singapore","GoBear is a comparison site for insurance, credit cards, and loans.",97000000,USD,97000000,Private,,,Active,http://www.gobear.com,101-250,17000000,USD,17000000,Venture - Series Unknown,2,"Aegon, Walvis Participaties"
Carro,https://www.crunchbase.com/organization/carro,"Automotive, Direct Sales, E-Commerce, E-Commerce Platforms, Leasing, Marketplace","Singapore, Central Region, Singapore",Carro is an online used car marketplace that offers a full-stack service for all aspects of car ownership.,229516000,USD,229516000,Private,,,Active,http://carro.sg/,101-250,110500000,USD,110500000,Debt Financing,9,"Alpha JWC Ventures, B Capital Group, Insignia Ventures Partners, Softbank Ventures Asia, Golden Gate"
