Organization/Person Name,Organization/Person Name URL,Location,Number of Exits,Description,Investor Type,Investment Stage,Industries,Number of Investments
Wavemaker Partners,https://www.crunchbase.com/organization/wavemaker-partners,"Singapore, Central Region, Singapore",45,Wavemaker is a crossborder early-stage VC firm that focuses on early-stage tech startup opportunities.,Micro VC,"Early Stage Venture, Seed","AgTech, Business Intelligence, Cyber Security, E-Commerce, Enterprise Software, FinTech, Marketing Automation, Mobile, Robotics",429
Antler,https://www.crunchbase.com/organization/antler-be9c,"Singapore, Central Region, Singapore",,Antler is a global early-stage venture capital firm that builds and invests in the defining technology companies of tomorrow.,"Accelerator, Venture Capital","Early Stage Venture, Seed, Venture","Finance, Financial Services, Venture Capital",183
BEENEXT,https://www.crunchbase.com/organization/bee-next,"Singapore, Central Region, Singapore",7,"BEENEXT is a venture capital firm investing in startups from India, Southeast Asia, Japan, and USA.",Venture Capital,"Early Stage Venture, Seed","Internet, Venture Capital",176
JAFCO Asia,https://www.crunchbase.com/organization/jafco-asia,"Singapore, Central Region, Singapore",46,"Since its establishment in 1990, JAFCO Asia has grown to become a leading brand in the venture capital industry in the Asia Pacific region.",Venture Capital,"Early Stage Venture, Late Stage Venture, Seed","Finance, Financial Services, Venture Capital",144
EDBI,https://www.crunchbase.com/organization/edbi,"Singapore, Central Region, Singapore",28,EDBI is a Singapore-based global fund with investments in the knowledge and innovation-intensive sectors. ,Venture Capital,"Early Stage Venture, Late Stage Venture","Financial Services, FinTech, Information and Communications Technology (ICT), Venture Capital",116
Singtel Innov8,https://www.crunchbase.com/organization/singtel-innov8,"Singapore, Central Region, Singapore",32,"Singtel Innov8, the venture capital arm of the Singtel Group, invests in and partners with innovative tech start-ups worldwide.",Corporate Venture Capital,,"Finance, Financial Services, Venture Capital",112
HATCHER+,https://www.crunchbase.com/organization/hatcher,"Singapore, Central Region, Singapore",3,Hatcher+ is a data-driven venture investment platform.,"Micro VC, Venture Capital","Early Stage Venture, Seed","Artificial Intelligence, Big Data, FinTech, Incubators, Machine Learning, Venture Capital",104
Golden Gate,https://www.crunchbase.com/organization/golden-gate-ventures,"Singapore, Central Region, Singapore",7,"Golden Gate seeks to invest in business processes and services, mobile, and Software-as-a-Service.",Venture Capital,"Early Stage Venture, Seed","Angel Investment, Finance, Financial Services, Impact Investing, Venture Capital",91
Singapore Angel Network,https://www.crunchbase.com/organization/singapore-angel-network,"Singapore, Central Region, Singapore",9,Singapore Angel Network is a venture capital firm specialized in early-stage investments,Venture Capital,Early Stage Venture,,80
Jungle Ventures,https://www.crunchbase.com/organization/jungle-ventures,"Singapore, Central Region, Singapore",11,Jungle Ventures is a Singapore based Venture Capital Firm that invests in and helps build tech category leaders from Asia.,Venture Capital,Early Stage Venture,"E-Commerce, FinTech, Marketplace, Media and Entertainment, SaaS, Software, Venture Capital",78
DSG Consumer Partners,https://www.crunchbase.com/organization/dsg-consumer-partners,"Singapore, Central Region, Singapore",2,"DSG Consumer Partners is an investment company focusing on identifying, investing in, and growing consumer businesses in India & SE Asia.",Venture Capital,Early Stage Venture,"Consumer, Consumer Goods, Financial Services, Venture Capital",73
Spiral Ventures,https://www.crunchbase.com/organization/imj-fenox-pte-ltd,"Singapore, Central Region, Singapore",3,Spiral Ventures is a venture capital firm that provides its services for the Southeast Asia and Japan market.,Venture Capital,"Early Stage Venture, Seed",Finance,73
SGInnovate,https://www.crunchbase.com/organization/sginnovate,"Singapore, Central Region, Singapore",1,SGInnovate helps entrepreneurial scientists build Deep Tech startups.,Venture Capital,"Early Stage Venture, Seed, Venture","Artificial Intelligence, Government, Venture Capital",68
Vertex Ventures Southeast Asia & India,https://www.crunchbase.com/organization/vertex-ventures-southeast-asia-india,"Singapore, Central Region, Singapore",6,Vertex Ventures Southeast Asia & India invests in high-growth start-ups in Southeast Asia and India.,Venture Capital,Early Stage Venture,"Finance, FinTech",60
Insignia Ventures Partners,https://www.crunchbase.com/organization/insignia-ventures-partners,"Singapore, Central Region, Singapore",,Insignia Ventures Partners is a venture capital firm that specializes in startup investment.,Venture Capital,"Early Stage Venture, Seed","Financial Services, Impact Investing, Venture Capital",59
Quest Ventures,https://www.crunchbase.com/organization/questventures,"Singapore, Central Region, Singapore",2,Quest Ventures is a venture fund for technology companies that have scalability and replicability in large internet communities.,Micro VC,"Early Stage Venture, Seed","Angel Investment, Business Development, Venture Capital",57
Openspace Ventures,https://www.crunchbase.com/organization/openspace-ventures,"Singapore, Central Region, Singapore",4,Openspace Ventures makes investments in early-stage technology companies based in Southeast Asia.,Venture Capital,Early Stage Venture,Venture Capital,55
RB Investments Pte. Ltd.,https://www.crunchbase.com/organization/rb-investments,"Singapore, Central Region, Singapore",3,"RB Investments is a Singapore Bases Venture Capital firm, that invests in people with visionary ideas.",Venture Capital,Early Stage Venture,"Financial Services, Information Technology, Venture Capital",51
Arbor Ventures,https://www.crunchbase.com/organization/arbor-ventures,"Singapore, Central Region, Singapore",1,Arbor Ventures is a visionary VC focused on shaping the way the world transacts by investing in early stage companies.,Venture Capital,"Early Stage Venture, Seed","Big Data, E-Commerce, Finance, Financial Services, FinTech, Venture Capital",48
Vickers Venture Partners,https://www.crunchbase.com/organization/vickers-capital-group,"Singapore, Central Region, Singapore",1,Vickers Venture Partners is a venture capital firm focused on angel investments in Asia and beyond.,Venture Capital,Early Stage Venture,Venture Capital,46
Seeds Capital,https://www.crunchbase.com/organization/seeds-capital,"Singapore, Central Region, Singapore",,Seeds Capital is an investment Firm.,Venture Capital,"Early Stage Venture, Seed",,41
SBI Ven Capital,https://www.crunchbase.com/organization/sbi-ven-capital,"Singapore, Central Region, Singapore",6,SBI Ven Capital is a private equity firm that invests in financial services and technology sectors across Asia.,"Private Equity Firm, Venture Capital","Early Stage Venture, Private Equity",,37
Enspire Capital,https://www.crunchbase.com/organization/enspire-capital,"Singapore, Central Region, Singapore",11,"A Singapore family office fund focusing on Greater China and U.S. early-stage, direct and fund investments in TMT, Internet and Mobile",Venture Capital,"Early Stage Venture, Late Stage Venture, Seed","Finance, FinTech, Venture Capital",37
North Base Media,https://www.crunchbase.com/organization/north-base-media,"Singapore, Central Region, Singapore",,An investment firm focused on journalistic enterprise and digital-driven opportunities in emerging markets.,"Micro VC, Venture Capital","Early Stage Venture, Seed","Digital Media, Journalism, Media and Entertainment",36
DTRIBE Capital,https://www.crunchbase.com/organization/d-tribe-capital,"Singapore, Central Region, Singapore",3,"Singapore-based, Asia-focused venture capital firm nurturing the next generation of founders building the future through technology.",Venture Capital,"Early Stage Venture, Seed, Venture",Financial Services,35
Ruvento,https://www.crunchbase.com/organization/ruvento,"Singapore, Central Region, Singapore",2,"Ruvento Ventures is a seed capital firm that funds the best teams in IoT, robotics, and emerging technologies across USA and Asia","Micro VC, Venture Capital",Seed,"Angel Investment, Artificial Intelligence, Hardware, Impact Investing, Robotics, Venture Capital",35
UOB Venture,https://www.crunchbase.com/organization/uob-venture,"Singapore, Central Region, Singapore",9,"UOB Venture, an investment firm, finances privately-held companies through direct equity investment, mainly in Southeast Asia and China.",Venture Capital,"Early Stage Venture, Late Stage Venture","Banking, Financial Services, Venture Capital",34
Monk’s Hill Ventures,https://www.crunchbase.com/organization/monk-s-hill-ventures,"Singapore, Central Region, Singapore",,Venture capital firm investing in early-stage technology startups in Southeast Asia,Venture Capital,Early Stage Venture,"Finance, Financial Services, Venture Capital",33
K3 Ventures,https://www.crunchbase.com/organization/k3-ventures,"Singapore, Central Region, Singapore",3,K3 Ventures is a Singapore-based venture capital firm.,"Micro VC, Private Equity Firm, Venture Capital","Convertible Note, Early Stage Venture, Late Stage Venture, Seed","Finance, Venture Capital",33
iGlobe Partners,https://www.crunchbase.com/organization/iglobe-partners,"Singapore, Central Region, Singapore",7,iGlobe Partners is a leading Asia-Pacific cross-border Venture Capital firm with deep expertise in tech and bio.,Venture Capital,"Early Stage Venture, Late Stage Venture",Venture Capital,33
Qualgro VC,https://www.crunchbase.com/organization/qualgro,"Singapore, Central Region, Singapore",1,"Qualgro Venture Capital invests in B2B technology startups in Southeast Asia, Australia and New Zealand, at Series A and Series B.",Venture Capital,Early Stage Venture,"Financial Services, SaaS, Venture Capital",30
